Name,scope name,LOC,CYCLO,MAXNESTING,NOP,NOAV,NOLV,FANOUT,FANIN,ATFD,FDP,CINT,CC,CM,LAA,Brain Method
doMap,ELFunctionVisitor,97,13,5,1,20,14,21,2,17,4,9,0,0,0.06,true
generateSetJspContext,Generator,76,13,4,1,13,7,12,1,5,2,11,0,0,0.71,true
visit,GenerateVisitor,91,7,5,1,7,5,22,0,7,4,18,0,0,0.50,true
visit,GenerateVisitor,186,17,4,1,16,13,35,0,9,6,20,0,0,0.36,true
visit,GenerateVisitor,233,23,4,1,28,23,25,0,13,6,17,0,0,0.24,true
visit,GenerateVisitor,166,27,4,1,33,21,36,0,14,7,25,0,0,0.65,true
visit,GenerateVisitor,67,9,3,1,15,12,25,0,11,4,16,0,0,0.27,true
visit,GenerateVisitor,122,21,5,1,25,17,29,0,18,5,14,0,0,0.38,true
generateCustomStart,GenerateVisitor,122,11,4,5,13,2,23,1,7,5,18,0,0,0.63,true
generateCustomEnd,GenerateVisitor,116,13,4,4,14,0,15,1,2,2,12,0,0,0.89,true
saveScriptingVars,GenerateVisitor,60,14,4,2,14,8,15,2,11,3,14,0,0,0.21,true
restoreScriptingVars,GenerateVisitor,60,14,4,2,14,8,15,2,11,3,14,0,0,0.21,true
evaluateAttribute,GenerateVisitor,150,28,6,4,20,12,41,2,16,4,23,0,0,0.06,true
generateSetters,GenerateVisitor,90,15,4,4,15,6,19,2,10,4,15,0,0,0.70,true
convertString,GenerateVisitor,60,21,19,5,8,3,18,1,0,0,0,0,0,1,true
ImplicitTagLibraryInfo,ImplicitTagLibraryInfo,120,23,10,6,40,18,29,2,0,0,11,2,2,1,true
generateClass,JDTCompiler,411,13,6,1,27,23,33,0,8,1,17,0,0,0.70,true
parse,JspDocumentParser,76,5,6,10,24,11,22,1,2,1,0,1,1,0.87,true
initSecurity,JspRuntimeContext,87,14,5,0,18,11,21,1,0,0,3,0,0,1,true
checkAttributes,JspUtil,87,18,4,4,26,19,18,18,3,1,8,3,18,0,true
interpreterCall,JspUtil,84,13,9,5,17,4,10,3,0,0,0,1,3,1,true
parseTaglibDirective,Parser,59,12,5,1,18,10,25,1,9,4,17,0,0,0.75,true
TagLibraryInfoImpl,TagLibraryInfoImpl,67,7,4,8,20,10,20,2,1,1,5,2,2,0.83,true
parseTLD,TagLibraryInfoImpl,99,26,13,4,34,17,33,1,0,0,11,0,0,1,true
createTagInfo,TagLibraryInfoImpl,95,25,16,2,26,21,23,1,0,0,8,0,0,1,true
createAttribute,TagLibraryInfoImpl,98,33,10,2,20,18,13,1,8,1,6,0,0,0.20,true
setScriptingVars,ScriptingVariableVisitor,65,19,4,2,20,11,20,1,13,3,15,0,0,0,true
visit,TagFileDirectiveVisitor,98,26,3,1,22,15,11,0,1,1,4,0,0,0.91,true
visit,TagFileDirectiveVisitor,61,16,4,1,18,8,8,0,0,0,2,0,0,1,true
processWebDotXml,TldLocationsCache,97,16,5,0,26,18,25,1,2,1,9,0,0,0.80,true
scanJar,TldLocationsCache,60,13,6,2,12,11,17,1,0,0,0,0,0,1,true
xmlEscape,Validator,62,24,10,1,7,6,6,2,0,0,0,2,2,1,true
visit,DirectiveVisitor,133,46,17,1,10,5,41,0,39,3,35,0,0,0.68,true
visit,DirectiveVisitor,66,17,8,1,8,4,20,0,11,3,15,0,0,0.72,true
visit,ValidateVisitor,89,20,3,1,20,14,33,0,19,5,24,0,0,0.24,true
checkXmlAttributes,ValidateVisitor,185,47,8,3,31,25,46,1,20,7,26,0,0,0.39,true
getJspAttribute,ValidateVisitor,96,15,6,8,16,6,29,9,0,0,15,0,0,1,true
setArgs,JspC,117,41,33,1,60,3,21,1,0,0,0,0,0,1,true
mergeIntoWebXml,JspC,96,17,7,0,21,18,25,1,0,0,0,0,0,1,true
processFile,JspC,90,18,3,1,19,8,30,1,4,1,15,0,0,0.86,true
execute,JspC,93,21,4,0,17,10,34,1,0,0,5,0,0,1,true
initClassLoader,JspC,78,11,5,1,23,16,29,1,0,0,2,0,0,1,true
doHandlePageException,PageContextImpl,68,11,3,1,7,3,16,2,1,1,7,0,1,0.86,true
action,MsgContext,133,32,10,2,40,20,40,3,9,4,29,2,2,0.74,true
init,ChannelNioSocket,106,20,5,0,28,9,28,2,2,1,11,0,0,0.96,true
init,ChannelSocket,98,21,5,0,25,6,23,2,2,1,11,0,0,0.97,true
processConnection,ChannelSocket,61,12,4,1,17,8,20,1,7,2,12,0,1,0.63,true
init,ChannelUn,93,17,3,0,19,7,27,0,3,1,11,0,0,0.93,true
invoke,HandlerRequest,114,25,5,2,25,10,40,0,12,3,29,0,0,0.62,true
decodeAttributes,HandlerRequest,128,23,6,4,33,7,23,1,6,2,19,0,0,0.45,true
parseHost,HandlerRequest,70,13,4,2,17,14,23,1,13,4,20,0,0,0,true
loadAdapter,JkMX,148,31,3,0,24,10,14,1,0,0,5,0,0,1,true
generate,WebXml2Jk,95,16,4,1,33,30,23,1,0,0,9,0,0,1,true
setSSLEnabled,Http11Protocol,1,1,0,1,2,0,0,0,0,0,0,0,0,1,false
setEncoding,AccessLogValve,7,3,1,1,2,0,1,0,0,0,0,0,0,1,false
trace,DirectJDKLog,3,1,0,2,3,0,2,0,0,0,0,0,0,1,false
isCheckExists,AccessLogValve,5,1,0,0,1,0,0,0,0,0,0,0,0,1,false
setUriConfig,IISConfig,3,2,1,1,2,0,1,0,0,0,0,0,0,1,false
getHeader,ScopeManager,16,1,0,0,1,0,1,1,0,0,0,1,1,1,false
setUseLongContentLength,JDBCAccessLogValve,3,1,0,1,2,0,0,0,0,0,0,0,0,1,false
getCustomTagParent,CustomTag,3,1,0,0,1,0,0,1,0,0,0,1,1,1,false
getDaemon,NioEndpoint,1,1,0,0,1,0,0,0,0,0,0,0,0,1,false
getMessage,SendMessageData,3,1,0,0,1,0,0,0,0,0,0,0,0,1,false
read,ChannelSocket,34,6,4,4,11,4,6,1,1,1,5,0,0,0.83,false
doEndTag,TagAdapter,4,1,0,0,0,0,1,0,0,0,0,0,0,1,false
setRequest,IdentityInputFilter,4,1,0,1,3,0,1,0,0,0,1,0,0,1,false
putIANA2JavaMapping,EncodingMap,3,1,0,2,3,0,1,0,0,0,0,0,0,1,false
getParent,ReplApplContext,3,1,0,0,0,0,1,1,0,0,0,0,0,1,false
toString,ApplicationFilterConfig,11,1,0,0,2,1,5,0,2,1,2,0,0,0.33,false
getInt,CharChunk,4,1,0,0,3,0,1,0,0,0,0,0,0,1,false
deserialize,XByteBuffer,3,1,0,1,2,0,1,0,0,0,0,0,0,1,false
getInfo,ClusterSessionListener,5,1,0,0,1,0,0,0,0,0,0,0,0,1,false
RmiClientLocalhostSocketFactory,RmiClientLocalhostSocketFactory,3,1,0,1,2,0,0,1,0,0,0,1,1,1,false
getMaxQueueLength,FastQueue,3,1,0,0,1,0,0,0,0,0,0,0,0,1,false
addResource,StandardContextMBean,22,3,1,2,7,4,11,0,3,2,6,0,0,0.25,false
getUseExecutor,NioEndpoint,1,2,0,0,2,0,0,3,0,0,0,0,0,1,false
supportedType,MbeansDescriptorsIntrospectionSource,11,4,2,1,4,1,1,1,0,0,0,0,0,1,false
resetWriteLatch,KeyAttachment,1,1,0,0,1,0,1,1,0,0,0,1,1,1,false
start,Bootstrap,7,2,1,0,2,1,4,1,0,0,0,0,0,1,false
getCluster,JvmRouteBinderValve,3,1,0,0,1,0,0,2,0,0,0,0,0,1,false
replace,ClassLoaderLogManager,28,6,3,1,7,6,10,2,0,0,0,0,0,1,false
getType,CoordinationMessage,4,2,1,0,1,0,1,1,0,0,0,1,1,1,false
isRescan,TldConfig,3,1,0,0,1,0,0,0,0,0,0,0,0,1,false
getFile,DeferredFileOutputStream,3,1,0,0,1,0,0,5,0,0,0,1,5,1,false
destroySubcontext,NamingContext,3,1,0,1,1,0,2,0,0,0,0,0,0,1,false
writeBytes,OutputBuffer,15,3,1,3,7,0,2,1,0,0,2,0,0,1,false
recycle,InternalAprInputBuffer,18,2,1,0,9,1,2,1,0,0,2,1,1,1,false
memberDisappeared,ChannelCoordinator,4,1,0,1,1,0,2,0,0,0,0,0,0,1,false
doWrite,ChunkedOutputFilter,27,3,1,2,10,4,3,0,2,1,2,0,0,0.67,false
run,RecoveryThread,25,7,5,0,6,3,5,0,5,1,2,0,0,0.38,false
equals,FragKey,6,2,1,1,2,0,1,0,0,0,0,0,0,1,false
getCacheRemovalWarningTime,LockOutRealm,3,1,0,0,1,0,0,0,0,0,0,0,0,1,false
getTagInfo,JspCompilationContext,3,1,0,0,1,0,0,2,0,0,0,2,2,1,false
getNextBackupIndex,AbstractReplicatedMap,10,3,1,0,4,2,1,2,0,0,0,1,1,1,false
reauthenticate,SingleSignOn,25,7,3,3,7,4,8,1,5,2,7,1,1,0,false
end,FactoryCreateRule,26,7,3,2,6,1,10,0,5,1,7,0,0,0.62,false
setAdapter,Http11Processor,3,1,0,1,2,0,0,1,0,0,0,0,1,1,false
MemberImpl,MemberImpl,4,1,0,4,4,0,1,0,0,0,0,0,0,1,false
getEncoding,Parameters,3,1,0,0,1,0,0,0,0,0,0,0,0,1,false
getUseLocalPorts,JmxRemoteLifecycleListener,3,1,0,0,1,0,0,0,0,0,0,0,0,1,false
flush,ThresholdingOutputStream,3,1,0,0,0,0,2,1,0,0,0,0,0,1,false
getElement,JspC,31,8,3,1,5,4,8,1,0,0,0,0,0,1,false
URL,URL,5,1,0,3,3,0,0,0,0,0,0,0,0,1,false
findCompressableMimeTypes,Http11Processor,3,1,0,0,1,0,0,0,0,0,0,0,0,1,false
getJkDir,WebXml2Jk,3,1,0,0,1,0,0,3,0,0,0,3,3,1,false
preRegister,ValveBase,8,1,0,2,5,0,1,0,0,0,0,0,0,1,false
sendRedirect,Response,26,3,2,1,6,2,8,5,0,0,1,5,5,1,false
urlEncode,UEncoder,11,4,2,4,7,2,3,1,0,0,0,0,0,1,false
addObjectCreate,Digester,6,1,0,3,3,0,2,0,0,0,0,0,0,1,false
getOutputStream,InternalOutputBuffer,5,1,0,0,1,0,0,0,0,0,0,0,0,1,false
LiteralExpression,ELParser,16,2,2,0,7,3,5,1,1,1,3,0,0,0.75,false
JkInputStream,JkInputStream,10,2,1,2,7,0,1,1,0,0,0,1,1,1,false
removeFromQueue,MessageDispatchInterceptor,3,1,0,0,1,0,1,1,0,0,1,0,0,1,false
CallMethodRule,CallMethodRule,3,1,0,3,3,0,0,1,0,0,0,1,1,1,false
getParameterValue,MediaType,3,1,0,1,3,0,2,0,0,0,0,0,0,1,false
destroy,ChannelSocket,28,7,3,0,9,1,9,2,0,0,5,0,0,1,false
run,PrivilegedStoreClear,4,1,0,0,1,0,1,0,1,1,1,0,0,0,false
getPathInfoMB,DummyRequest,3,1,0,0,0,0,0,0,0,0,0,0,0,1,false
sendHeader,InternalOutputBuffer,10,1,0,2,8,0,1,0,0,0,0,0,0,1,false
print,SystemLogHandler,3,1,0,1,1,0,2,0,0,0,0,0,0,1,false
getLong,ByteChunk,3,1,0,0,3,0,1,1,0,0,0,1,1,1,false
reset,MsgAjp,4,1,0,0,2,0,0,1,0,0,0,1,1,1,false
getType,ResourcesTask,3,1,0,0,1,0,0,0,0,0,0,0,0,1,false
Http11ConnectionHandler,Http11ConnectionHandler,3,1,0,1,2,0,0,0,0,0,0,0,0,1,false
setRestrictedUserAgents,Http11NioProcessor,3,1,0,1,2,0,0,0,0,0,0,0,0,1,false
setGetMethod,AttributeInfo,3,1,0,1,2,0,0,1,0,0,0,1,1,1,false
clone,AbstractReplicatedMap,3,1,0,0,0,0,1,0,0,0,0,0,0,1,false
